Category,Overheads
Salary Expense,10.84
Marketing Expense,5.35
Rental Expense,4.33
Overflow Expense - Retail,0.56
Overflow Expense - Warehouse,0.16
Penalty Expense,0.58
Depreciation Expense,5.05
Maintenance Expense,0.55
Shipping Expense,67.93
Human Resource Expense,4.65

